Species_Scenario	mean	std
11	0.35	0.125
12	0.35	0.125
13	0.4	0.125
14	0.4	0.125
21	0.5	0.125
22	0.5	0.125
23	0.65	0.125
24	0.6	0.15
31	0.7	0.09
32	0.75	0.115
33	0.8	0.115
34	0.8	0.115
41	0.5	0.07
42	0.5	0.07
43	0.55	0.07
44	0.55	0.105
51	0.9	0.07
52	0.9	0.07
53	0.9	0.07
54	0.9	0.07
61	0.9	0.08
62	0.9	0.08
63	0.9	0.08
64	0.9	0.08
71	0.5	0.1
72	0.5	0.075
73	0.6	0.1
74	0.55	0.1
81	0.4	0.1
82	0.4	0.125
83	0.55	0.065
84	0.55	0.065
91	0.3	0.13
92	0.3	0.075
93	0.65	0.105
94	0.65	0.105
101	0.2	0.1
102	0.2	0.065
103	0.3	0.1
104	0.4	0.095
111	0.6	0.165
112	0.6	0.165
113	0.7	0.165
114	0.7	0.165
121	0.6	0.2
122	0.6	0.2
123	0.7	0.165
124	0.7	0.165
131	0.3	0.1
132	0.3	0.08
133	0.2	0.11
134	0.2	0.11
141	0.41	0.135
142	0.41	0.135
143	0.31	0.14
144	0.27	0.115
151	0.5	0.09
152	0.5	0.065
153	0.4	0.065
154	0.4	0.065
161	0.3	0.115
162	0.4	0.08
163	0.85	0.08
164	0.85	0.08
171	0.56	0.095
172	0.6	0.08
173	0.6	0.115
174	0.6	0.08
181	0.55	0.12
182	0.55	0.07
183	0.6	0.07
184	0.6	0.07
191	0.2	0.11
192	0.2	0.075
193	0.25	0.075
194	0.25	0.075
201	0.49	0.09
202	0.6	0.06
203	0.6	0.1
204	0.6	0.1
